Params: {Param(parent='LinearSVC_e5649d62f90d', name='maxIter', doc='max number of iterations (>= 0).'): 3, Param(parent='LinearSVC_e5649d62f90d', name='aggregationDepth', doc='suggested depth for treeAggregate (>= 2).'): 3, Param(parent='LinearSVC_e5649d62f90d', name='regParam', doc='regularization parameter (>= 0).'): 0.0} => Train accuracy: 0.9809523809523809, Test accuracy: 0.8557504873294347, F1: 0.8557175987036547
Params: {Param(parent='LinearSVC_e5649d62f90d', name='maxIter', doc='max number of iterations (>= 0).'): 3, Param(parent='LinearSVC_e5649d62f90d', name='aggregationDepth', doc='suggested depth for treeAggregate (>= 2).'): 3, Param(parent='LinearSVC_e5649d62f90d', name='regParam', doc='regularization parameter (>= 0).'): 15.0} => Train accuracy: 0.9666666666666667, Test accuracy: 0.8401559454191033, F1: 0.8398044928036599
Params: {Param(parent='LinearSVC_e5649d62f90d', name='maxIter', doc='max number of iterations (>= 0).'): 5, Param(parent='LinearSVC_e5649d62f90d', name='aggregationDepth', doc='suggested depth for treeAggregate (>= 2).'): 3, Param(parent='LinearSVC_e5649d62f90d', name='regParam', doc='regularization parameter (>= 0).'): 0.0} => Train accuracy: 0.9785714285714285, Test accuracy: 0.8499025341130604, F1: 0.8499265065116233
Params: {Param(parent='LinearSVC_e5649d62f90d', name='maxIter', doc='max number of iterations (>= 0).'): 5, Param(parent='LinearSVC_e5649d62f90d', name='aggregationDepth', doc='suggested depth for treeAggregate (>= 2).'): 3, Param(parent='LinearSVC_e5649d62f90d', name='regParam', doc='regularization parameter (>= 0).'): 10.0} => Train accuracy: 0.9722222222222222, Test accuracy: 0.8499025341130604, F1: 0.8499196447621841
Params: {Param(parent='LinearSVC_e5649d62f90d', name='maxIter', doc='max number of iterations (>= 0).'): 5, Param(parent='LinearSVC_e5649d62f90d', name='aggregationDepth', doc='suggested depth for treeAggregate (>= 2).'): 3, Param(parent='LinearSVC_e5649d62f90d', name='regParam', doc='regularization parameter (>= 0).'): 15.0} => Train accuracy: 0.9706349206349206, Test accuracy: 0.8518518518518519, F1: 0.8517899226560643
Params: {Param(parent='LinearSVC_e5649d62f90d', name='maxIter', doc='max number of iterations (>= 0).'): 3, Param(parent='LinearSVC_e5649d62f90d', name='aggregationDepth', doc='suggested depth for treeAggregate (>= 2).'): 3, Param(parent='LinearSVC_e5649d62f90d', name='regParam', doc='regularization parameter (>= 0).'): 0.0} => Train accuracy: 0.9714285714285714, Test accuracy: 0.8499025341130604, F1: 0.8499025341130604
Params: {Param(parent='LinearSVC_e5649d62f90d', name='maxIter', doc='max number of iterations (>= 0).'): 3, Param(parent='LinearSVC_e5649d62f90d', name='aggregationDepth', doc='suggested depth for treeAggregate (>= 2).'): 3, Param(parent='LinearSVC_e5649d62f90d', name='regParam', doc='regularization parameter (>= 0).'): 10.0} => Train accuracy: 0.9658730158730159, Test accuracy: 0.847953216374269, F1: 0.8478179804556091
Params: {Param(parent='LinearSVC_e5649d62f90d', name='maxIter', doc='max number of iterations (>= 0).'): 3, Param(parent='LinearSVC_e5649d62f90d', name='aggregationDepth', doc='suggested depth for treeAggregate (>= 2).'): 3, Param(parent='LinearSVC_e5649d62f90d', name='regParam', doc='regularization parameter (>= 0).'): 15.0} => Train accuracy: 0.9634920634920635, Test accuracy: 0.8421052631578947, F1: 0.8418963576606184
Params: {Param(parent='LinearSVC_e5649d62f90d', name='maxIter', doc='max number of iterations (>= 0).'): 5, Param(parent='LinearSVC_e5649d62f90d', name='aggregationDepth', doc='suggested depth for treeAggregate (>= 2).'): 3, Param(parent='LinearSVC_e5649d62f90d', name='regParam', doc='regularization parameter (>= 0).'): 0.0} => Train accuracy: 0.9746031746031746, Test accuracy: 0.8499025341130604, F1: 0.8499367736262369
Params: {Param(parent='LinearSVC_e5649d62f90d', name='maxIter', doc='max number of iterations (>= 0).'): 5, Param(parent='LinearSVC_e5649d62f90d', name='aggregationDepth', doc='suggested depth for treeAggregate (>= 2).'): 3, Param(parent='LinearSVC_e5649d62f90d', name='regParam', doc='regularization parameter (>= 0).'): 10.0} => Train accuracy: 0.9682539682539683, Test accuracy: 0.847953216374269, F1: 0.8479913656387352
Params: {Param(parent='LinearSVC_e5649d62f90d', name='maxIter', doc='max number of iterations (>= 0).'): 5, Param(parent='LinearSVC_e5649d62f90d', name='aggregationDepth', doc='suggested depth for treeAggregate (>= 2).'): 3, Param(parent='LinearSVC_e5649d62f90d', name='regParam', doc='regularization parameter (>= 0).'): 15.0} => Train accuracy: 0.969047619047619, Test accuracy: 0.8538011695906432, F1: 0.8538011695906433
Params: {Param(parent='LinearSVC_e5649d62f90d', name='maxIter', doc='max number of iterations (>= 0).'): 3, Param(parent='LinearSVC_e5649d62f90d', name='aggregationDepth', doc='suggested depth for treeAggregate (>= 2).'): 3, Param(parent='LinearSVC_e5649d62f90d', name='regParam', doc='regularization parameter (>= 0).'): 0.0} => Train accuracy: 0.9682539682539683, Test accuracy: 0.8538011695906432, F1: 0.8537545020559605
Params: {Param(parent='LinearSVC_e5649d62f90d', name='maxIter', doc='max number of iterations (>= 0).'): 3, Param(parent='LinearSVC_e5649d62f90d', name='aggregationDepth', doc='suggested depth for treeAggregate (>= 2).'): 3, Param(parent='LinearSVC_e5649d62f90d', name='regParam', doc='regularization parameter (>= 0).'): 10.0} => Train accuracy: 0.9634920634920635, Test accuracy: 0.8499025341130604, F1: 0.8496548193279116
Params: {Param(parent='LinearSVC_e5649d62f90d', name='maxIter', doc='max number of iterations (>= 0).'): 3, Param(parent='LinearSVC_e5649d62f90d', name='aggregationDepth', doc='suggested depth for treeAggregate (>= 2).'): 3, Param(parent='LinearSVC_e5649d62f90d', name='regParam', doc='regularization parameter (>= 0).'): 15.0} => Train accuracy: 0.9634920634920635, Test accuracy: 0.8460038986354775, F1: 0.845800151298628
Params: {Param(parent='LinearSVC_e5649d62f90d', name='maxIter', doc='max number of iterations (>= 0).'): 5, Param(parent='LinearSVC_e5649d62f90d', name='aggregationDepth', doc='suggested depth for treeAggregate (>= 2).'): 3, Param(parent='LinearSVC_e5649d62f90d', name='regParam', doc='regularization parameter (>= 0).'): 0.0} => Train accuracy: 0.9761904761904762, Test accuracy: 0.8440545808966862, F1: 0.8440545808966862
Params: {Param(parent='LinearSVC_e5649d62f90d', name='maxIter', doc='max number of iterations (>= 0).'): 5, Param(parent='LinearSVC_e5649d62f90d', name='aggregationDepth', doc='suggested depth for treeAggregate (>= 2).'): 3, Param(parent='LinearSVC_e5649d62f90d', name='regParam', doc='regularization parameter (>= 0).'): 10.0} => Train accuracy: 0.9682539682539683, Test accuracy: 0.8596491228070176, F1: 0.8596811244967068
Params: {Param(parent='LinearSVC_e5649d62f90d', name='maxIter', doc='max number of iterations (>= 0).'): 5, Param(parent='LinearSVC_e5649d62f90d', name='aggregationDepth', doc='suggested depth for treeAggregate (>= 2).'): 3, Param(parent='LinearSVC_e5649d62f90d', name='regParam', doc='regularization parameter (>= 0).'): 15.0} => Train accuracy: 0.9714285714285714, Test accuracy: 0.8557504873294347, F1: 0.8557790081456281
Params: {Param(parent='LinearSVC_e5649d62f90d', name='maxIter', doc='max number of iterations (>= 0).'): 3, Param(parent='LinearSVC_e5649d62f90d', name='aggregationDepth', doc='suggested depth for treeAggregate (>= 2).'): 3, Param(parent='LinearSVC_e5649d62f90d', name='regParam', doc='regularization parameter (>= 0).'): 0.0} => Train accuracy: 0.9761904761904762, Test accuracy: 0.8440545808966862, F1: 0.8438233310356584
Params: {Param(parent='LinearSVC_e5649d62f90d', name='maxIter', doc='max number of iterations (>= 0).'): 3, Param(parent='LinearSVC_e5649d62f90d', name='aggregationDepth', doc='suggested depth for treeAggregate (>= 2).'): 3, Param(parent='LinearSVC_e5649d62f90d', name='regParam', doc='regularization parameter (>= 0).'): 10.0} => Train accuracy: 0.9619047619047619, Test accuracy: 0.8362573099415205, F1: 0.8355160878877579
Params: {Param(parent='LinearSVC_e5649d62f90d', name='maxIter', doc='max number of iterations (>= 0).'): 3, Param(parent='LinearSVC_e5649d62f90d', name='aggregationDepth', doc='suggested depth for treeAggregate (>= 2).'): 3, Param(parent='LinearSVC_e5649d62f90d', name='regParam', doc='regularization parameter (>= 0).'): 15.0} => Train accuracy: 0.9619047619047619, Test accuracy: 0.834307992202729, F1: 0.833602283232519
Params: {Param(parent='LinearSVC_e5649d62f90d', name='maxIter', doc='max number of iterations (>= 0).'): 5, Param(parent='LinearSVC_e5649d62f90d', name='aggregationDepth', doc='suggested depth for treeAggregate (>= 2).'): 3, Param(parent='LinearSVC_e5649d62f90d', name='regParam', doc='regularization parameter (>= 0).'): 0.0} => Train accuracy: 0.9817460317460317, Test accuracy: 0.8421052631578947, F1: 0.842123262671908
Params: {Param(parent='LinearSVC_e5649d62f90d', name='maxIter', doc='max number of iterations (>= 0).'): 5, Param(parent='LinearSVC_e5649d62f90d', name='aggregationDepth', doc='suggested depth for treeAggregate (>= 2).'): 3, Param(parent='LinearSVC_e5649d62f90d', name='regParam', doc='regularization parameter (>= 0).'): 10.0} => Train accuracy: 0.9753968253968254, Test accuracy: 0.8401559454191033, F1: 0.8401814563261272
Params: {Param(parent='LinearSVC_e5649d62f90d', name='maxIter', doc='max number of iterations (>= 0).'): 5, Param(parent='LinearSVC_e5649d62f90d', name='aggregationDepth', doc='suggested depth for treeAggregate (>= 2).'): 3, Param(parent='LinearSVC_e5649d62f90d', name='regParam', doc='regularization parameter (>= 0).'): 15.0} => Train accuracy: 0.9706349206349206, Test accuracy: 0.8518518518518519, F1: 0.8516321644838756
Params: {Param(parent='LinearSVC_e5649d62f90d', name='maxIter', doc='max number of iterations (>= 0).'): 3, Param(parent='LinearSVC_e5649d62f90d', name='aggregationDepth', doc='suggested depth for treeAggregate (>= 2).'): 3, Param(parent='LinearSVC_e5649d62f90d', name='regParam', doc='regularization parameter (>= 0).'): 0.0} => Train accuracy: 0.9714285714285714, Test accuracy: 0.8557504873294347, F1: 0.8556901878493259
Params: {Param(parent='LinearSVC_e5649d62f90d', name='maxIter', doc='max number of iterations (>= 0).'): 3, Param(parent='LinearSVC_e5649d62f90d', name='aggregationDepth', doc='suggested depth for treeAggregate (>= 2).'): 3, Param(parent='LinearSVC_e5649d62f90d', name='regParam', doc='regularization parameter (>= 0).'): 10.0} => Train accuracy: 0.9714285714285714, Test accuracy: 0.8421052631578947, F1: 0.8419432084158028
Params: {Param(parent='LinearSVC_e5649d62f90d', name='maxIter', doc='max number of iterations (>= 0).'): 3, Param(parent='LinearSVC_e5649d62f90d', name='aggregationDepth', doc='suggested depth for treeAggregate (>= 2).'): 3, Param(parent='LinearSVC_e5649d62f90d', name='regParam', doc='regularization parameter (>= 0).'): 15.0} => Train accuracy: 0.9714285714285714, Test accuracy: 0.8421052631578947, F1: 0.8419852390330457
Params: {Param(parent='LinearSVC_e5649d62f90d', name='maxIter', doc='max number of iterations (>= 0).'): 5, Param(parent='LinearSVC_e5649d62f90d', name='aggregationDepth', doc='suggested depth for treeAggregate (>= 2).'): 3, Param(parent='LinearSVC_e5649d62f90d', name='regParam', doc='regularization parameter (>= 0).'): 0.0} => Train accuracy: 0.9801587301587301, Test accuracy: 0.8576998050682261, F1: 0.8577376697107543
Params: {Param(parent='LinearSVC_e5649d62f90d', name='maxIter', doc='max number of iterations (>= 0).'): 5, Param(parent='LinearSVC_e5649d62f90d', name='aggregationDepth', doc='suggested depth for treeAggregate (>= 2).'): 3, Param(parent='LinearSVC_e5649d62f90d', name='regParam', doc='regularization parameter (>= 0).'): 10.0} => Train accuracy: 0.9738095238095238, Test accuracy: 0.8499025341130604, F1: 0.8499265065116233
Params: {Param(parent='LinearSVC_e5649d62f90d', name='maxIter', doc='max number of iterations (>= 0).'): 5, Param(parent='LinearSVC_e5649d62f90d', name='aggregationDepth', doc='suggested depth for treeAggregate (>= 2).'): 3, Param(parent='LinearSVC_e5649d62f90d', name='regParam', doc='regularization parameter (>= 0).'): 15.0} => Train accuracy: 0.9722222222222222, Test accuracy: 0.8538011695906432, F1: 0.8538411776322596
Params: {Param(parent='LinearSVC_e5649d62f90d', name='maxIter', doc='max number of iterations (>= 0).'): 3, Param(parent='LinearSVC_e5649d62f90d', name='aggregationDepth', doc='suggested depth for treeAggregate (>= 2).'): 3, Param(parent='LinearSVC_e5649d62f90d', name='regParam', doc='regularization parameter (>= 0).'): 0.0} => Train accuracy: 0.9746031746031746, Test accuracy: 0.8460038986354775, F1: 0.8459547421656117
Params: {Param(parent='LinearSVC_e5649d62f90d', name='maxIter', doc='max number of iterations (>= 0).'): 3, Param(parent='LinearSVC_e5649d62f90d', name='aggregationDepth', doc='suggested depth for treeAggregate (>= 2).'): 3, Param(parent='LinearSVC_e5649d62f90d', name='regParam', doc='regularization parameter (>= 0).'): 10.0} => Train accuracy: 0.969047619047619, Test accuracy: 0.8440545808966862, F1: 0.8438719861265918
Params: {Param(parent='LinearSVC_e5649d62f90d', name='maxIter', doc='max number of iterations (>= 0).'): 3, Param(parent='LinearSVC_e5649d62f90d', name='aggregationDepth', doc='suggested depth for treeAggregate (>= 2).'): 3, Param(parent='LinearSVC_e5649d62f90d', name='regParam', doc='regularization parameter (>= 0).'): 15.0} => Train accuracy: 0.9666666666666667, Test accuracy: 0.8421052631578947, F1: 0.8418963576606184
Params: {Param(parent='LinearSVC_e5649d62f90d', name='maxIter', doc='max number of iterations (>= 0).'): 5, Param(parent='LinearSVC_e5649d62f90d', name='aggregationDepth', doc='suggested depth for treeAggregate (>= 2).'): 3, Param(parent='LinearSVC_e5649d62f90d', name='regParam', doc='regularization parameter (>= 0).'): 0.0} => Train accuracy: 0.9777777777777777, Test accuracy: 0.8460038986354775, F1: 0.84601327031973
Params: {Param(parent='LinearSVC_e5649d62f90d', name='maxIter', doc='max number of iterations (>= 0).'): 5, Param(parent='LinearSVC_e5649d62f90d', name='aggregationDepth', doc='suggested depth for treeAggregate (>= 2).'): 3, Param(parent='LinearSVC_e5649d62f90d', name='regParam', doc='regularization parameter (>= 0).'): 10.0} => Train accuracy: 0.9746031746031746, Test accuracy: 0.8499025341130604, F1: 0.8499321939239922
Params: {Param(parent='LinearSVC_e5649d62f90d', name='maxIter', doc='max number of iterations (>= 0).'): 5, Param(parent='LinearSVC_e5649d62f90d', name='aggregationDepth', doc='suggested depth for treeAggregate (>= 2).'): 3, Param(parent='LinearSVC_e5649d62f90d', name='regParam', doc='regularization parameter (>= 0).'): 15.0} => Train accuracy: 0.9722222222222222, Test accuracy: 0.8518518518518519, F1: 0.8518417189076236
=====================================================
Best Params: {Param(parent='LinearSVC_e5649d62f90d', name='aggregationDepth', doc='suggested depth for treeAggregate (>= 2).'): 3, Param(parent='LinearSVC_e5649d62f90d', name='featuresCol', doc='features column name.'): 'features', Param(parent='LinearSVC_e5649d62f90d', name='fitIntercept', doc='whether to fit an intercept term.'): True, Param(parent='LinearSVC_e5649d62f90d', name='labelCol', doc='label column name.'): 'fraudulent', Param(parent='LinearSVC_e5649d62f90d', name='maxBlockSizeInMB', doc='maximum memory in MB for stacking input data into blocks. Data is stacked within partitions. If more than remaining data size in a partition then it is adjusted to the data size. Default 0.0 represents choosing optimal value, depends on specific algorithm. Must be >= 0.'): 0.0, Param(parent='LinearSVC_e5649d62f90d', name='maxIter', doc='max number of iterations (>= 0).'): 5, Param(parent='LinearSVC_e5649d62f90d', name='predictionCol', doc='prediction column name.'): 'prediction', Param(parent='LinearSVC_e5649d62f90d', name='rawPredictionCol', doc='raw prediction (a.k.a. confidence) column name.'): 'rawPrediction', Param(parent='LinearSVC_e5649d62f90d', name='regParam', doc='regularization parameter (>= 0).'): 0.0, Param(parent='LinearSVC_e5649d62f90d', name='standardization', doc='whether to standardize the training features before fitting the model.'): True, Param(parent='LinearSVC_e5649d62f90d', name='threshold', doc='The threshold in binary classification applied to the linear model prediction.  This threshold can be any real number, where Inf will make all predictions 0.0 and -Inf will make all predictions 1.0.'): 0.0, Param(parent='LinearSVC_e5649d62f90d', name='tol', doc='the convergence tolerance for iterative algorithms (>= 0).'): 1e-06}
