Params: {Param(parent='MultilayerPerceptronClassifier_a7d4e7d585ef', name='maxIter', doc='max number of iterations (>= 0).'): 10, Param(parent='MultilayerPerceptronClassifier_a7d4e7d585ef', name='stepSize', doc='Step size to be used for each iteration of optimization (>= 0).'): 0.001} => Train accuracy: 0.7086247086247086, Test accuracy: 0.6486486486486487, F1: 0.6486486486486487
Params: {Param(parent='MultilayerPerceptronClassifier_a7d4e7d585ef', name='maxIter', doc='max number of iterations (>= 0).'): 10, Param(parent='MultilayerPerceptronClassifier_a7d4e7d585ef', name='stepSize', doc='Step size to be used for each iteration of optimization (>= 0).'): 0.1} => Train accuracy: 0.7117327117327117, Test accuracy: 0.6583011583011583, F1: 0.6588757461230923
Params: {Param(parent='MultilayerPerceptronClassifier_a7d4e7d585ef', name='maxIter', doc='max number of iterations (>= 0).'): 15, Param(parent='MultilayerPerceptronClassifier_a7d4e7d585ef', name='stepSize', doc='Step size to be used for each iteration of optimization (>= 0).'): 0.001} => Train accuracy: 0.9774669774669774, Test accuracy: 0.8223938223938224, F1: 0.8227478634852736
Params: {Param(parent='MultilayerPerceptronClassifier_a7d4e7d585ef', name='maxIter', doc='max number of iterations (>= 0).'): 15, Param(parent='MultilayerPerceptronClassifier_a7d4e7d585ef', name='stepSize', doc='Step size to be used for each iteration of optimization (>= 0).'): 0.01} => Train accuracy: 0.9774669774669774, Test accuracy: 0.8223938223938224, F1: 0.8227478634852736
Params: {Param(parent='MultilayerPerceptronClassifier_a7d4e7d585ef', name='maxIter', doc='max number of iterations (>= 0).'): 15, Param(parent='MultilayerPerceptronClassifier_a7d4e7d585ef', name='stepSize', doc='Step size to be used for each iteration of optimization (>= 0).'): 0.1} => Train accuracy: 0.9774669774669774, Test accuracy: 0.8223938223938224, F1: 0.8227478634852736
Params: {Param(parent='MultilayerPerceptronClassifier_a7d4e7d585ef', name='maxIter', doc='max number of iterations (>= 0).'): 20, Param(parent='MultilayerPerceptronClassifier_a7d4e7d585ef', name='stepSize', doc='Step size to be used for each iteration of optimization (>= 0).'): 0.001} => Train accuracy: 0.9759129759129759, Test accuracy: 0.7992277992277992, F1: 0.7997317018486176
Params: {Param(parent='MultilayerPerceptronClassifier_a7d4e7d585ef', name='maxIter', doc='max number of iterations (>= 0).'): 20, Param(parent='MultilayerPerceptronClassifier_a7d4e7d585ef', name='stepSize', doc='Step size to be used for each iteration of optimization (>= 0).'): 0.01} => Train accuracy: 0.9759129759129759, Test accuracy: 0.7992277992277992, F1: 0.7997317018486176
Params: {Param(parent='MultilayerPerceptronClassifier_a7d4e7d585ef', name='maxIter', doc='max number of iterations (>= 0).'): 20, Param(parent='MultilayerPerceptronClassifier_a7d4e7d585ef', name='stepSize', doc='Step size to be used for each iteration of optimization (>= 0).'): 0.1} => Train accuracy: 0.9759129759129759, Test accuracy: 0.7992277992277992, F1: 0.7997317018486176
Params: {Param(parent='MultilayerPerceptronClassifier_a7d4e7d585ef', name='maxIter', doc='max number of iterations (>= 0).'): 10, Param(parent='MultilayerPerceptronClassifier_a7d4e7d585ef', name='stepSize', doc='Step size to be used for each iteration of optimization (>= 0).'): 0.001} => Train accuracy: 0.7125097125097125, Test accuracy: 0.6640926640926641, F1: 0.6646938853665679
Params: {Param(parent='MultilayerPerceptronClassifier_a7d4e7d585ef', name='maxIter', doc='max number of iterations (>= 0).'): 10, Param(parent='MultilayerPerceptronClassifier_a7d4e7d585ef', name='stepSize', doc='Step size to be used for each iteration of optimization (>= 0).'): 0.01} => Train accuracy: 0.7125097125097125, Test accuracy: 0.6640926640926641, F1: 0.6646938853665679
Params: {Param(parent='MultilayerPerceptronClassifier_a7d4e7d585ef', name='maxIter', doc='max number of iterations (>= 0).'): 10, Param(parent='MultilayerPerceptronClassifier_a7d4e7d585ef', name='stepSize', doc='Step size to be used for each iteration of optimization (>= 0).'): 0.1} => Train accuracy: 0.7125097125097125, Test accuracy: 0.6640926640926641, F1: 0.6646938853665679
Params: {Param(parent='MultilayerPerceptronClassifier_a7d4e7d585ef', name='maxIter', doc='max number of iterations (>= 0).'): 15, Param(parent='MultilayerPerceptronClassifier_a7d4e7d585ef', name='stepSize', doc='Step size to be used for each iteration of optimization (>= 0).'): 0.001} => Train accuracy: 0.9650793650793651, Test accuracy: 0.8674463937621832, F1: 0.8616331549409019
Params: {Param(parent='MultilayerPerceptronClassifier_a7d4e7d585ef', name='maxIter', doc='max number of iterations (>= 0).'): 15, Param(parent='MultilayerPerceptronClassifier_a7d4e7d585ef', name='stepSize', doc='Step size to be used for each iteration of optimization (>= 0).'): 0.01} => Train accuracy: 0.9650793650793651, Test accuracy: 0.8674463937621832, F1: 0.8616331549409019
Params: {Param(parent='MultilayerPerceptronClassifier_a7d4e7d585ef', name='maxIter', doc='max number of iterations (>= 0).'): 15, Param(parent='MultilayerPerceptronClassifier_a7d4e7d585ef', name='stepSize', doc='Step size to be used for each iteration of optimization (>= 0).'): 0.1} => Train accuracy: 0.9650793650793651, Test accuracy: 0.8674463937621832, F1: 0.8616331549409019
Params: {Param(parent='MultilayerPerceptronClassifier_a7d4e7d585ef', name='maxIter', doc='max number of iterations (>= 0).'): 20, Param(parent='MultilayerPerceptronClassifier_a7d4e7d585ef', name='stepSize', doc='Step size to be used for each iteration of optimization (>= 0).'): 0.001} => Train accuracy: 0.986013986013986, Test accuracy: 0.8397683397683398, F1: 0.8400010432208574
Params: {Param(parent='MultilayerPerceptronClassifier_a7d4e7d585ef', name='maxIter', doc='max number of iterations (>= 0).'): 20, Param(parent='MultilayerPerceptronClassifier_a7d4e7d585ef', name='stepSize', doc='Step size to be used for each iteration of optimization (>= 0).'): 0.01} => Train accuracy: 0.986013986013986, Test accuracy: 0.8397683397683398, F1: 0.8400010432208574
Params: {Param(parent='MultilayerPerceptronClassifier_a7d4e7d585ef', name='maxIter', doc='max number of iterations (>= 0).'): 20, Param(parent='MultilayerPerceptronClassifier_a7d4e7d585ef', name='stepSize', doc='Step size to be used for each iteration of optimization (>= 0).'): 0.1} => Train accuracy: 0.986013986013986, Test accuracy: 0.8397683397683398, F1: 0.8400010432208574
Params: {Param(parent='MultilayerPerceptronClassifier_a7d4e7d585ef', name='maxIter', doc='max number of iterations (>= 0).'): 10, Param(parent='MultilayerPerceptronClassifier_a7d4e7d585ef', name='stepSize', doc='Step size to be used for each iteration of optimization (>= 0).'): 0.001} => Train accuracy: 0.7125097125097125, Test accuracy: 0.6467181467181468, F1: 0.6466483653791488
Params: {Param(parent='MultilayerPerceptronClassifier_a7d4e7d585ef', name='maxIter', doc='max number of iterations (>= 0).'): 10, Param(parent='MultilayerPerceptronClassifier_a7d4e7d585ef', name='stepSize', doc='Step size to be used for each iteration of optimization (>= 0).'): 0.01} => Train accuracy: 0.7125097125097125, Test accuracy: 0.6467181467181468, F1: 0.6466483653791488
Params: {Param(parent='MultilayerPerceptronClassifier_a7d4e7d585ef', name='maxIter', doc='max number of iterations (>= 0).'): 10, Param(parent='MultilayerPerceptronClassifier_a7d4e7d585ef', name='stepSize', doc='Step size to be used for each iteration of optimization (>= 0).'): 0.1} => Train accuracy: 0.7125097125097125, Test accuracy: 0.6467181467181468, F1: 0.6466483653791488
Params: {Param(parent='MultilayerPerceptronClassifier_a7d4e7d585ef', name='maxIter', doc='max number of iterations (>= 0).'): 15, Param(parent='MultilayerPerceptronClassifier_a7d4e7d585ef', name='stepSize', doc='Step size to be used for each iteration of optimization (>= 0).'): 0.001} => Train accuracy: 0.9805749805749806, Test accuracy: 0.8281853281853282, F1: 0.8285425312452339
Params: {Param(parent='MultilayerPerceptronClassifier_a7d4e7d585ef', name='maxIter', doc='max number of iterations (>= 0).'): 15, Param(parent='MultilayerPerceptronClassifier_a7d4e7d585ef', name='stepSize', doc='Step size to be used for each iteration of optimization (>= 0).'): 0.01} => Train accuracy: 0.9805749805749806, Test accuracy: 0.8281853281853282, F1: 0.8285425312452339
Params: {Param(parent='MultilayerPerceptronClassifier_a7d4e7d585ef', name='maxIter', doc='max number of iterations (>= 0).'): 15, Param(parent='MultilayerPerceptronClassifier_a7d4e7d585ef', name='stepSize', doc='Step size to be used for each iteration of optimization (>= 0).'): 0.1} => Train accuracy: 0.9805749805749806, Test accuracy: 0.8281853281853282, F1: 0.8285425312452339
Params: {Param(parent='MultilayerPerceptronClassifier_a7d4e7d585ef', name='maxIter', doc='max number of iterations (>= 0).'): 20, Param(parent='MultilayerPerceptronClassifier_a7d4e7d585ef', name='stepSize', doc='Step size to be used for each iteration of optimization (>= 0).'): 0.001} => Train accuracy: 0.9836829836829837, Test accuracy: 0.8243243243243243, F1: 0.8246581570307314
Params: {Param(parent='MultilayerPerceptronClassifier_a7d4e7d585ef', name='maxIter', doc='max number of iterations (>= 0).'): 20, Param(parent='MultilayerPerceptronClassifier_a7d4e7d585ef', name='stepSize', doc='Step size to be used for each iteration of optimization (>= 0).'): 0.01} => Train accuracy: 0.9836829836829837, Test accuracy: 0.8243243243243243, F1: 0.8246581570307314
Params: {Param(parent='MultilayerPerceptronClassifier_a7d4e7d585ef', name='maxIter', doc='max number of iterations (>= 0).'): 20, Param(parent='MultilayerPerceptronClassifier_a7d4e7d585ef', name='stepSize', doc='Step size to be used for each iteration of optimization (>= 0).'): 0.1} => Train accuracy: 0.9836829836829837, Test accuracy: 0.8243243243243243, F1: 0.8246581570307314
Params: {Param(parent='MultilayerPerceptronClassifier_a7d4e7d585ef', name='maxIter', doc='max number of iterations (>= 0).'): 10, Param(parent='MultilayerPerceptronClassifier_a7d4e7d585ef', name='stepSize', doc='Step size to be used for each iteration of optimization (>= 0).'): 0.001} => Train accuracy: 0.7101787101787101, Test accuracy: 0.6583011583011583, F1: 0.6587941346387978
Params: {Param(parent='MultilayerPerceptronClassifier_a7d4e7d585ef', name='maxIter', doc='max number of iterations (>= 0).'): 10, Param(parent='MultilayerPerceptronClassifier_a7d4e7d585ef', name='stepSize', doc='Step size to be used for each iteration of optimization (>= 0).'): 0.01} => Train accuracy: 0.7101787101787101, Test accuracy: 0.6583011583011583, F1: 0.6587941346387978
Params: {Param(parent='MultilayerPerceptronClassifier_a7d4e7d585ef', name='maxIter', doc='max number of iterations (>= 0).'): 10, Param(parent='MultilayerPerceptronClassifier_a7d4e7d585ef', name='stepSize', doc='Step size to be used for each iteration of optimization (>= 0).'): 0.1} => Train accuracy: 0.7101787101787101, Test accuracy: 0.6583011583011583, F1: 0.6587941346387978
Params: {Param(parent='MultilayerPerceptronClassifier_a7d4e7d585ef', name='maxIter', doc='max number of iterations (>= 0).'): 15, Param(parent='MultilayerPerceptronClassifier_a7d4e7d585ef', name='stepSize', doc='Step size to be used for each iteration of optimization (>= 0).'): 0.001} => Train accuracy: 0.9829059829059829, Test accuracy: 0.8474903474903475, F1: 0.8476707482449148
Params: {Param(parent='MultilayerPerceptronClassifier_a7d4e7d585ef', name='maxIter', doc='max number of iterations (>= 0).'): 15, Param(parent='MultilayerPerceptronClassifier_a7d4e7d585ef', name='stepSize', doc='Step size to be used for each iteration of optimization (>= 0).'): 0.01} => Train accuracy: 0.9829059829059829, Test accuracy: 0.8474903474903475, F1: 0.8476707482449148
Params: {Param(parent='MultilayerPerceptronClassifier_a7d4e7d585ef', name='maxIter', doc='max number of iterations (>= 0).'): 15, Param(parent='MultilayerPerceptronClassifier_a7d4e7d585ef', name='stepSize', doc='Step size to be used for each iteration of optimization (>= 0).'): 0.1} => Train accuracy: 0.9829059829059829, Test accuracy: 0.8474903474903475, F1: 0.8476707482449148
Params: {Param(parent='MultilayerPerceptronClassifier_a7d4e7d585ef', name='maxIter', doc='max number of iterations (>= 0).'): 20, Param(parent='MultilayerPerceptronClassifier_a7d4e7d585ef', name='stepSize', doc='Step size to be used for each iteration of optimization (>= 0).'): 0.001} => Train accuracy: 0.9821289821289821, Test accuracy: 0.8436293436293436, F1: 0.8437674309383907
Params: {Param(parent='MultilayerPerceptronClassifier_a7d4e7d585ef', name='maxIter', doc='max number of iterations (>= 0).'): 20, Param(parent='MultilayerPerceptronClassifier_a7d4e7d585ef', name='stepSize', doc='Step size to be used for each iteration of optimization (>= 0).'): 0.01} => Train accuracy: 0.9821289821289821, Test accuracy: 0.8436293436293436, F1: 0.8437674309383907
Params: {Param(parent='MultilayerPerceptronClassifier_a7d4e7d585ef', name='maxIter', doc='max number of iterations (>= 0).'): 20, Param(parent='MultilayerPerceptronClassifier_a7d4e7d585ef', name='stepSize', doc='Step size to be used for each iteration of optimization (>= 0).'): 0.1} => Train accuracy: 0.9821289821289821, Test accuracy: 0.8436293436293436, F1: 0.8437674309383907
Params: {Param(parent='MultilayerPerceptronClassifier_a7d4e7d585ef', name='maxIter', doc='max number of iterations (>= 0).'): 10, Param(parent='MultilayerPerceptronClassifier_a7d4e7d585ef', name='stepSize', doc='Step size to be used for each iteration of optimization (>= 0).'): 0.001} => Train accuracy: 0.7055167055167055, Test accuracy: 0.6428571428571429, F1: 0.6426375182687725
Params: {Param(parent='MultilayerPerceptronClassifier_a7d4e7d585ef', name='maxIter', doc='max number of iterations (>= 0).'): 10, Param(parent='MultilayerPerceptronClassifier_a7d4e7d585ef', name='stepSize', doc='Step size to be used for each iteration of optimization (>= 0).'): 0.01} => Train accuracy: 0.7055167055167055, Test accuracy: 0.6428571428571429, F1: 0.6426375182687725
Params: {Param(parent='MultilayerPerceptronClassifier_a7d4e7d585ef', name='maxIter', doc='max number of iterations (>= 0).'): 10, Param(parent='MultilayerPerceptronClassifier_a7d4e7d585ef', name='stepSize', doc='Step size to be used for each iteration of optimization (>= 0).'): 0.1} => Train accuracy: 0.7055167055167055, Test accuracy: 0.6428571428571429, F1: 0.6426375182687725
Params: {Param(parent='MultilayerPerceptronClassifier_a7d4e7d585ef', name='maxIter', doc='max number of iterations (>= 0).'): 15, Param(parent='MultilayerPerceptronClassifier_a7d4e7d585ef', name='stepSize', doc='Step size to be used for each iteration of optimization (>= 0).'): 0.001} => Train accuracy: 0.9790209790209791, Test accuracy: 0.8378378378378378, F1: 0.8381296669864629
Params: {Param(parent='MultilayerPerceptronClassifier_a7d4e7d585ef', name='maxIter', doc='max number of iterations (>= 0).'): 15, Param(parent='MultilayerPerceptronClassifier_a7d4e7d585ef', name='stepSize', doc='Step size to be used for each iteration of optimization (>= 0).'): 0.01} => Train accuracy: 0.9790209790209791, Test accuracy: 0.8378378378378378, F1: 0.8381296669864629
Params: {Param(parent='MultilayerPerceptronClassifier_a7d4e7d585ef', name='maxIter', doc='max number of iterations (>= 0).'): 15, Param(parent='MultilayerPerceptronClassifier_a7d4e7d585ef', name='stepSize', doc='Step size to be used for each iteration of optimization (>= 0).'): 0.1} => Train accuracy: 0.9790209790209791, Test accuracy: 0.8378378378378378, F1: 0.8381296669864629
Params: {Param(parent='MultilayerPerceptronClassifier_a7d4e7d585ef', name='maxIter', doc='max number of iterations (>= 0).'): 20, Param(parent='MultilayerPerceptronClassifier_a7d4e7d585ef', name='stepSize', doc='Step size to be used for each iteration of optimization (>= 0).'): 0.001} => Train accuracy: 0.9829059829059829, Test accuracy: 0.833976833976834, F1: 0.8341489640173376
Params: {Param(parent='MultilayerPerceptronClassifier_a7d4e7d585ef', name='maxIter', doc='max number of iterations (>= 0).'): 20, Param(parent='MultilayerPerceptronClassifier_a7d4e7d585ef', name='stepSize', doc='Step size to be used for each iteration of optimization (>= 0).'): 0.01} => Train accuracy: 0.9829059829059829, Test accuracy: 0.833976833976834, F1: 0.8341489640173376
Params: {Param(parent='MultilayerPerceptronClassifier_a7d4e7d585ef', name='maxIter', doc='max number of iterations (>= 0).'): 20, Param(parent='MultilayerPerceptronClassifier_a7d4e7d585ef', name='stepSize', doc='Step size to be used for each iteration of optimization (>= 0).'): 0.1} => Train accuracy: 0.9829059829059829, Test accuracy: 0.833976833976834, F1: 0.8341489640173376
Params: {Param(parent='MultilayerPerceptronClassifier_a7d4e7d585ef', name='maxIter', doc='max number of iterations (>= 0).'): 10, Param(parent='MultilayerPerceptronClassifier_a7d4e7d585ef', name='stepSize', doc='Step size to be used for each iteration of optimization (>= 0).'): 0.001} => Train accuracy: 0.7148407148407149, Test accuracy: 0.667953667953668, F1: 0.6685479786382165
Params: {Param(parent='MultilayerPerceptronClassifier_a7d4e7d585ef', name='maxIter', doc='max number of iterations (>= 0).'): 10, Param(parent='MultilayerPerceptronClassifier_a7d4e7d585ef', name='stepSize', doc='Step size to be used for each iteration of optimization (>= 0).'): 0.01} => Train accuracy: 0.7148407148407149, Test accuracy: 0.667953667953668, F1: 0.6685479786382165
Params: {Param(parent='MultilayerPerceptronClassifier_a7d4e7d585ef', name='maxIter', doc='max number of iterations (>= 0).'): 10, Param(parent='MultilayerPerceptronClassifier_a7d4e7d585ef', name='stepSize', doc='Step size to be used for each iteration of optimization (>= 0).'): 0.1} => Train accuracy: 0.7148407148407149, Test accuracy: 0.667953667953668, F1: 0.6685479786382165
Params: {Param(parent='MultilayerPerceptronClassifier_a7d4e7d585ef', name='maxIter', doc='max number of iterations (>= 0).'): 15, Param(parent='MultilayerPerceptronClassifier_a7d4e7d585ef', name='stepSize', doc='Step size to be used for each iteration of optimization (>= 0).'): 0.001} => Train accuracy: 0.986013986013986, Test accuracy: 0.8301158301158301, F1: 0.8302919631805314
Params: {Param(parent='MultilayerPerceptronClassifier_a7d4e7d585ef', name='maxIter', doc='max number of iterations (>= 0).'): 15, Param(parent='MultilayerPerceptronClassifier_a7d4e7d585ef', name='stepSize', doc='Step size to be used for each iteration of optimization (>= 0).'): 0.01} => Train accuracy: 0.986013986013986, Test accuracy: 0.8301158301158301, F1: 0.8302919631805314
Params: {Param(parent='MultilayerPerceptronClassifier_a7d4e7d585ef', name='maxIter', doc='max number of iterations (>= 0).'): 15, Param(parent='MultilayerPerceptronClassifier_a7d4e7d585ef', name='stepSize', doc='Step size to be used for each iteration of optimization (>= 0).'): 0.1} => Train accuracy: 0.986013986013986, Test accuracy: 0.8301158301158301, F1: 0.8302919631805314
Params: {Param(parent='MultilayerPerceptronClassifier_a7d4e7d585ef', name='maxIter', doc='max number of iterations (>= 0).'): 20, Param(parent='MultilayerPerceptronClassifier_a7d4e7d585ef', name='stepSize', doc='Step size to be used for each iteration of optimization (>= 0).'): 0.001} => Train accuracy: 0.9875679875679876, Test accuracy: 0.8127413127413128, F1: 0.8130971563953953
Params: {Param(parent='MultilayerPerceptronClassifier_a7d4e7d585ef', name='maxIter', doc='max number of iterations (>= 0).'): 20, Param(parent='MultilayerPerceptronClassifier_a7d4e7d585ef', name='stepSize', doc='Step size to be used for each iteration of optimization (>= 0).'): 0.01} => Train accuracy: 0.9875679875679876, Test accuracy: 0.8127413127413128, F1: 0.8130971563953953
Params: {Param(parent='MultilayerPerceptronClassifier_a7d4e7d585ef', name='maxIter', doc='max number of iterations (>= 0).'): 20, Param(parent='MultilayerPerceptronClassifier_a7d4e7d585ef', name='stepSize', doc='Step size to be used for each iteration of optimization (>= 0).'): 0.1} => Train accuracy: 0.9875679875679876, Test accuracy: 0.8127413127413128, F1: 0.8130971563953953
Params: {Param(parent='MultilayerPerceptronClassifier_a7d4e7d585ef', name='maxIter', doc='max number of iterations (>= 0).'): 10, Param(parent='MultilayerPerceptronClassifier_a7d4e7d585ef', name='stepSize', doc='Step size to be used for each iteration of optimization (>= 0).'): 0.001} => Train accuracy: 0.7101787101787101, Test accuracy: 0.6583011583011583, F1: 0.6584883626308817
Params: {Param(parent='MultilayerPerceptronClassifier_a7d4e7d585ef', name='maxIter', doc='max number of iterations (>= 0).'): 10, Param(parent='MultilayerPerceptronClassifier_a7d4e7d585ef', name='stepSize', doc='Step size to be used for each iteration of optimization (>= 0).'): 0.01} => Train accuracy: 0.7101787101787101, Test accuracy: 0.6583011583011583, F1: 0.6584883626308817
Params: {Param(parent='MultilayerPerceptronClassifier_a7d4e7d585ef', name='maxIter', doc='max number of iterations (>= 0).'): 10, Param(parent='MultilayerPerceptronClassifier_a7d4e7d585ef', name='stepSize', doc='Step size to be used for each iteration of optimization (>= 0).'): 0.1} => Train accuracy: 0.7101787101787101, Test accuracy: 0.6583011583011583, F1: 0.6584883626308817
Params: {Param(parent='MultilayerPerceptronClassifier_a7d4e7d585ef', name='maxIter', doc='max number of iterations (>= 0).'): 15, Param(parent='MultilayerPerceptronClassifier_a7d4e7d585ef', name='stepSize', doc='Step size to be used for each iteration of optimization (>= 0).'): 0.001} => Train accuracy: 0.9774669774669774, Test accuracy: 0.833976833976834, F1: 0.8342756114385215
Params: {Param(parent='MultilayerPerceptronClassifier_a7d4e7d585ef', name='maxIter', doc='max number of iterations (>= 0).'): 15, Param(parent='MultilayerPerceptronClassifier_a7d4e7d585ef', name='stepSize', doc='Step size to be used for each iteration of optimization (>= 0).'): 0.01} => Train accuracy: 0.9774669774669774, Test accuracy: 0.833976833976834, F1: 0.8342756114385215
Params: {Param(parent='MultilayerPerceptronClassifier_a7d4e7d585ef', name='maxIter', doc='max number of iterations (>= 0).'): 15, Param(parent='MultilayerPerceptronClassifier_a7d4e7d585ef', name='stepSize', doc='Step size to be used for each iteration of optimization (>= 0).'): 0.1} => Train accuracy: 0.9774669774669774, Test accuracy: 0.833976833976834, F1: 0.8342756114385215
Params: {Param(parent='MultilayerPerceptronClassifier_a7d4e7d585ef', name='maxIter', doc='max number of iterations (>= 0).'): 20, Param(parent='MultilayerPerceptronClassifier_a7d4e7d585ef', name='stepSize', doc='Step size to be used for each iteration of optimization (>= 0).'): 0.001} => Train accuracy: 0.9821289821289821, Test accuracy: 0.8088803088803089, F1: 0.809362402310701
Params: {Param(parent='MultilayerPerceptronClassifier_a7d4e7d585ef', name='maxIter', doc='max number of iterations (>= 0).'): 20, Param(parent='MultilayerPerceptronClassifier_a7d4e7d585ef', name='stepSize', doc='Step size to be used for each iteration of optimization (>= 0).'): 0.01} => Train accuracy: 0.9821289821289821, Test accuracy: 0.8088803088803089, F1: 0.809362402310701
Params: {Param(parent='MultilayerPerceptronClassifier_a7d4e7d585ef', name='maxIter', doc='max number of iterations (>= 0).'): 20, Param(parent='MultilayerPerceptronClassifier_a7d4e7d585ef', name='stepSize', doc='Step size to be used for each iteration of optimization (>= 0).'): 0.1} => Train accuracy: 0.9821289821289821, Test accuracy: 0.8088803088803089, F1: 0.809362402310701
Params: {Param(parent='MultilayerPerceptronClassifier_a7d4e7d585ef', name='maxIter', doc='max number of iterations (>= 0).'): 10, Param(parent='MultilayerPerceptronClassifier_a7d4e7d585ef', name='stepSize', doc='Step size to be used for each iteration of optimization (>= 0).'): 0.001} => Train accuracy: 0.7055167055167055, Test accuracy: 0.6428571428571429, F1: 0.6433724006111727
Params: {Param(parent='MultilayerPerceptronClassifier_a7d4e7d585ef', name='maxIter', doc='max number of iterations (>= 0).'): 10, Param(parent='MultilayerPerceptronClassifier_a7d4e7d585ef', name='stepSize', doc='Step size to be used for each iteration of optimization (>= 0).'): 0.01} => Train accuracy: 0.7055167055167055, Test accuracy: 0.6428571428571429, F1: 0.6433724006111727
Params: {Param(parent='MultilayerPerceptronClassifier_a7d4e7d585ef', name='maxIter', doc='max number of iterations (>= 0).'): 10, Param(parent='MultilayerPerceptronClassifier_a7d4e7d585ef', name='stepSize', doc='Step size to be used for each iteration of optimization (>= 0).'): 0.1} => Train accuracy: 0.7055167055167055, Test accuracy: 0.6428571428571429, F1: 0.6433724006111727
Params: {Param(parent='MultilayerPerceptronClassifier_a7d4e7d585ef', name='maxIter', doc='max number of iterations (>= 0).'): 15, Param(parent='MultilayerPerceptronClassifier_a7d4e7d585ef', name='stepSize', doc='Step size to be used for each iteration of optimization (>= 0).'): 0.001} => Train accuracy: 0.9805749805749806, Test accuracy: 0.8494208494208494, F1: 0.849576967364562
